Country,Year,Activity_,RMovement
SOUTH AFRICA,1971,surfing,2
SCOTLAND,2011,surfing,2
REUNION,2015,surfing,2
UNITED ARAB EMIRATES (UAE),2010,surfing,2
AUSTRALIA,1963,surfing,2
USA,1976,surfing,2
CANADA,2012,surfing,2
COSTA RICA,2015,surfing,2
SOUTH AFRICA,2012,surfing,2
AUSTRALIA,2014,surfing,2
AUSTRALIA,2010,surfing,2
AUSTRALIA,1964,surfing,2
INDONESIA,2011,surfing,2
AUSTRALIA,2014,surfing,2
BRAZIL,2011,surfing,2
BRAZIL,2010,surfing,2
USA,2012,surfing,2
REUNION,2010,surfing,2
ECUADOR,2011,surfing,2
BRAZIL,1998,surfing,2
REUNION,2000,surfing,2
SOUTH AFRICA,2017,surfing,2
OKINAWA,2000,surfing,2
AUSTRALIA,2017,surfing,2
BRAZIL,1999,surfing,2
SOUTH AFRICA,2000,surfing,2
USA,2006,surfing,2
SOUTH AFRICA,2006,surfing,2
USA,2006,surfing,2
MEXICO,2001,surfing,2
REUNION,2006,surfing,2
UNITED KINGDOM,2017,surfing,2
