Country,Area,Location,Activity,Age,Fatal?,Species,Year
USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,,N,"Nurse shark, 10'",2008
MEXICO,Baja California,Playas de Tijuana,Surfing,26,N,Possibly a hammerhead shark,2008
ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,24,N,3 m shark,2007
AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,31,N,2 m shark,2007
AUSTRALIA,Queensland,South Stradbroke Island,Swimming,teen,N,"""a small shark""",2007
AUSTRALIA,New South Wales,Bondi ,Swimming,34,U,Not a shark attack; it was a hoax,2007
USA,Hawaii,"Waialua Bay, O'ahu",Surfing,52,N,Tiger shark,2007
BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,28,N,2.27 m shark,2007
AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,32,N,reef shark,2007
SOUTH AFRICA,Western Cape Province,The Strand,Surfing,14,N,1.5 to 2 m shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,21,N,4' to 5' shark,2007
USA,Florida,"Round Island Park, Indian River County",Surfing,42,N,5' shark,2007
SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,37,N,"White shark, 3m to 4m",2007
USA,Hawaii,"Wailea, Maui",Floating,32,N,Tiger shark,2007
AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,52,N,"White shark, 2.5m ",2007
AUSTRALIA,Queensland,Holmes Reef,Spearfishing,31,N,Bronze whaler shark,2007
USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,22,N,3' to 4' shark,2007
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,16,N,"Blacktip shark, 5'",2007
NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,23,Y,Tiger shark,2007
BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,48,N,Caribbean reef shark,2007
USA,California,"Moonstone Beach, Humboldt County",Surfing,,N,White shark,2007
EGYPT,Red Sea,Daedalus Reef ,Swimming,18 or 20,N,Oceanic whitetip sharks were in the vicinity,2007
USA,Florida,Huguenot Park,Surfing,,N,4' shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,23,N,3' shark,2007
SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,,N,Gray reef shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Wading?,56,N,,2007
USA,Florida,"Flagler Beach, Flagler County",Surfing,Teen,N,9.5' shark?,2007
USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,14,N,"Nurse shark, 2' to 3' ",2007
USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,58,N,,2007
USA,Florida,"Daytona Beach, Volusia County",Wading,36,N,,2007
USA,South Carolina,Sullivan's Island,Standing,15,N,,2007
USA,Florida,"Daytona Beach, Volusia County",Jumping,12,N,"18"" to 24"" shark",2007
USA,Florida,"Fort Lauderdale, Broward County",Swimming,58,N,Possibly a spinner shark,2007
USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,15,N,"Tiger shark, 10' to 12' ",2007
USA,California,"Marina State Beach, Monterey County",Surfing,24,N,"White shark, 12'",2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,54,N,3' shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,27,N,3' shark,2007
USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,,N,Sand shark,2007
USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,,N,Sandtiger shark,2007
USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,52,N,,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,16,N,4' to 5' shark,2007
USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,7,N,,2007
USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,20,N,Possibly a 6' bull shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Swimming,15,N, ,2007
USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,19,N,,2007
USA,South Carolina,"Isle of Palms, Charleston County",Swimming,30,N,,2007
USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,9,N,,2007
USA,Florida,"Islamorada, Monroe County",Jumped into the water,19,N,Possibly a 10' bull shark,2007
USA,Florida,"Ponce Inlet, Volusia County",Surfing,51,N,,2007
USA,California,"Imperial Beach, San Diego County",Surfing,20,N,,2007
USA,California,"Malibu, Los Angeles County",Surf paddling,,N,"White shark, 12' ",2007
USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,,N,White shark,2007
USA,Hawaii,"Bellows Beach near Wailea Point, Oahu",Snorkeling,36,N, ,2007
AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,15,N,"Bronze whaler shark, 1.5 m ",2007
USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,14,N,2' to 3' shark,2007
NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,48,N,"3' small spotted catshark, Scyliorhinus canicula",2007
USA,California,"Faria Beach, Ventura County",Swimming,43,U,Shark involvement not confirmed,2007
USA,North Carolina,"Atlantic Beach, Carteret County",Wading,30,N,5' shark,2007
BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,48,N,"Bull shark, 5' ",2007
USA,Florida,"Ponce Inlet, Volusia County",Surfing,18,N,,2007
REUNION,,Boucan Canot,Body boarding,17,N,2 m shark,2007
USA,Florida,Marques Island,Removing hook from shark,,N,"Lemon shark, 6' female ",2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,20,N,4' shark,2007
USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,,N,Tiger shark,2007
USA,Florida,"Vilano Beach, St.  Johns County",Surfing,9,U,Shark involvement not confirmed,2007
USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,,N,3' to 4' shark,2007
USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,40,N,A 10-year-old 94-pound pregnant blacktip reef shark,2007
ENGLAND,Kent,Folkestone,Fishing,38,N,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",2007
AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,38,N,2.5 m shark,2007
AUSTRALIA,Victoria,Warrnambool,Surfing,19,N,10' shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,21,N,4' to 5' shark,2007
AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,45,U,Shark involvement prior to death was not confirmed,2007
USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,63,N,"Tiger shark, 14' ",2007
USA,Florida,Naples,Swimming,68,N,6' to 8' shark,2007
BAHAMAS,Bimini Islands,,Shark tagging,20,N,"Lemon shark, >1 m ",2007
AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,13,N,"""a small shark""",2007
USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,12,N,blacktip or spinner shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,24,N,3' to 4' shark,2007
USA,Florida,"Florida Keys, Monroe County",Fishing,,N,"Bull shark, 10' ",2007
NEW CALEDONIA,South Province,Dumbéa,Surfing,26,N,Tiger shark,2007
USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,7,N,,2007
USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,27,N,3' shark,2007
USA,Florida,Jupiter Inlet,Surfing,11,N,4' to 5' shark,2007
AUSTRALIA,New South Wales,South Golden Beach,Surfing,42,N,1.5 m shark,2007
USA,Florida,Delray Beach,Shark fishing,,N,5' shark,2007
AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,59,N,2 to 2.5 m shark,2007
USA,Florida,"Tiger Shores Beach, Martin County",Surfing,29,N,,2007
NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,16,N,Tiger shark,2007
