Country,Fatal,Year
AUSTRALIA,N,2011
NEW CALEDONIA,N,2011
REUNION,N,2011
AUSTRALIA,Y,2011
AUSTRALIA,N,2011
AUSTRALIA,N,2011
SOUTH AFRICA,N,2011
MEXICO,N,2011
MEXICO,N,2011
BAHAMAS,N,2011
AUSTRALIA,U,2011
SOUTH AFRICA,Y,2011
MEXICO,N,2011
AUSTRALIA,N,2011
USA,N,2010
USA,N,2010
EGYPT,Y,2010
EGYPT,N,2010
EGYPT,N,2010
EGYPT,N,2010
EGYPT,N,2010
AUSTRALIA,N,2010
AUSTRALIA,N,2010
USA,N,2010
AUSTRALIA,N,2010
USA,Y,2010
AUSTRALIA,N,2010
BAHAMAS,N,2010
SOUTH AFRICA,N,2010
USA,N,2010
USA,N,2010
SOUTH AFRICA,Y,2010
AUSTRALIA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
BAHAMAS,U,2010
USA,N,2010
AUSTRALIA,Y,2010
USA,N,2010
AUSTRALIA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
SPAIN,N,2010
USA,N,2010
SOUTH AFRICA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
VIETNAM,N,2010
USA,N,2010
AUSTRALIA,N,2010
USA,N,2010
USA,N,2010
VIETNAM,N,2010
VIETNAM,N,2010
USA,N,2010
USA,N,2010
USA,N,2010
SOUTH AFRICA,N,2010
EGYPT,N,2010
REUNION,N,2010
NEW ZEALAND,N,2010
SOUTH AFRICA,N,2010
FIJI,Y,2010
AUSTRALIA,N,2010
AUSTRALIA,N,2010
NEW ZEALAND,N,2010
AUSTRALIA,N,2010
USA,N,2010
USA,Y,2010
NEW ZEALAND,N,2010
BRAZIL,N,2010
SOUTH AFRICA,Y,2010
AUSTRALIA,N,2010
USA,N,2010
SOUTH AFRICA,N,2009
AUSTRALIA,N,2009
MOZAMBIQUE,N,2009
AUSTRALIA,N,2009
SOUTH AFRICA,Y,2009
NEW ZEALAND,Y,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
USA,N,2009
USA,U,2009
USA,N,2009
USA,N,2009
USA,N,2009
USA,N,2009
USA,N,2009
AUSTRALIA,N,2009
USA,N,2009
AUSTRALIA,N,2009
MOZAMBIQUE,N,2009
AUSTRALIA,N,2009
USA,N,2009
PANAMA,N,2009
SCOTLAND,N,2009
AUSTRALIA,N,2009
UNITED KINGDOM,N,2009
USA,N,2009
USA,Y,2009
BRAZIL,Y,2009
USA,N,2009
SOUTH AFRICA,Y,2009
USA,N,2009
SOUTH AFRICA,N,2009
USA,N,2009
USA,N,2009
USA,N,2009
BAHAMAS,N,2009
AUSTRALIA,N,2009
VIETNAM,N,2009
USA,N,2009
SPAIN,U,2009
USA,N,2009
USA,N,2009
VIETNAM,N,2009
USA,N,2009
SOUTH AFRICA,N,2009
USA,N,2009
USA,N,2009
AUSTRALIA,N,2009
USA,U,2009
USA,U,2009
EGYPT,N,2009
EGYPT,N,2009
EGYPT,Y,2009
TAIWAN,N,2009
USA,N,2009
USA,N,2009
USA,N,2009
USA,N,2009
BAHAMAS,N,2009
USA,N,2009
PHILIPPINES,N,2009
USA,N,2009
USA,N,2009
USA,U,2009
AUSTRALIA,N,2009
SOUTH AFRICA,U,2009
USA,N,2009
USA,N,2009
SOUTH AFRICA,N,2009
SOUTH AFRICA,Y,2009
AUSTRALIA,N,2009
USA,N,2009
USA,N,2009
AUSTRALIA,N,2009
NEW CALEDONIA,Y,2009
SOUTH AFRICA,N,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
CUBA,N,2009
AUSTRALIA,N,2009
SOUTH AFRICA,Y,2009
BRAZIL,U,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
AUSTRALIA,N,2009
