Fatal,Year,ActivityType
U,2009,deportes acuáticos
N,1980,deportes acuáticos
N,2009,deportes acuáticos
Y,2009,deportes acuáticos
N,2009,deportes acuáticos
N,1977,deportes acuáticos
N,2009,deportes acuáticos
N,2008,deportes acuáticos
U,2009,deportes acuáticos
N,1985,deportes acuáticos
N,1957,deportes acuáticos
Y,1984,deportes acuáticos
N,1983,deportes acuáticos
N,1982,deportes acuáticos
N,1996,deportes acuáticos
N,2006,deportes acuáticos
N,2003,deportes acuáticos
N,2003,deportes acuáticos
N,2003,deportes acuáticos
Y,2002,deportes acuáticos
N,2002,deportes acuáticos
N,2002,deportes acuáticos
N,2002,deportes acuáticos
N,2003,deportes acuáticos
Y,2005,deportes acuáticos
N,2005,deportes acuáticos
Y,2004,deportes acuáticos
Y,2002,deportes acuáticos
Y,2004,deportes acuáticos
N,2004,deportes acuáticos
Y,2004,deportes acuáticos
Y,2006,deportes acuáticos
Y,2004,deportes acuáticos
N,2004,deportes acuáticos
Y,2003,deportes acuáticos
N,2003,deportes acuáticos
N,2003,deportes acuáticos
U,2006,deportes acuáticos
N,2002,deportes acuáticos
N,1999,deportes acuáticos
Y,1999,deportes acuáticos
Y,1997,deportes acuáticos
Y,1996,deportes acuáticos
N,1999,deportes acuáticos
Y,2001,deportes acuáticos
N,2001,deportes acuáticos
Y,2001,deportes acuáticos
N,2001,deportes acuáticos
Y,2000,deportes acuáticos
N,1999,deportes acuáticos
N,2000,deportes acuáticos
Y,2000,deportes acuáticos
N,2000,deportes acuáticos
N,2000,deportes acuáticos
Y,2000,deportes acuáticos
N,2010,deportes acuáticos
Y,1995,deportes acuáticos
N,2010,deportes acuáticos
Y,1961,deportes acuáticos
N,1961,deportes acuáticos
N,2012,deportes acuáticos
Y,1968,deportes acuáticos
N,1961,deportes acuáticos
N,1968,deportes acuáticos
Y,1968,deportes acuáticos
N,1962,deportes acuáticos
N,1967,deportes acuáticos
Y,1962,deportes acuáticos
Y,1966,deportes acuáticos
U,2011,deportes acuáticos
N,1962,deportes acuáticos
Y,1966,deportes acuáticos
N,1961,deportes acuáticos
N,1970,deportes acuáticos
N,1970,deportes acuáticos
N,2013,deportes acuáticos
Y,1970,deportes acuáticos
N,1969,deportes acuáticos
N,1961,deportes acuáticos
N,2011,deportes acuáticos
Y,1961,deportes acuáticos
Y,2012,deportes acuáticos
N,2011,deportes acuáticos
